,Fixed carbon,Volatile matter,Ash,C,H,O,N,Residence time (min),Temperature (°C),Heating rate (°C/min),Biochar yield (%)
0,18.00679502,78.70894677,3.284258211,48.12,6.48,43.51,1.89,30,400,15,30.8
1,18.00679502,78.70894677,3.284258211,48.12,6.48,43.51,1.89,60,400,10,26.6
2,18.00679502,78.70894677,3.284258211,48.12,6.48,43.51,1.89,90,400,5,26.77
3,18.00679502,78.70894677,3.284258211,48.12,6.48,43.51,1.89,30,500,15,23.57
4,18.00679502,78.70894677,3.284258211,48.12,6.48,43.51,1.89,60,500,10,25.32
5,18.00679502,78.70894677,3.284258211,48.12,6.48,43.51,1.89,90,500,5,25.4
6,18.00679502,78.70894677,3.284258211,48.12,6.48,43.51,1.89,30,600,15,22.37
7,18.00679502,78.70894677,3.284258211,48.12,6.48,43.51,1.89,60,600,10,24.9
8,18.00679502,78.70894677,3.284258211,48.12,6.48,43.51,1.89,90,600,5,24.67
9,18.00679502,78.70894677,3.284258211,48.12,6.48,43.51,1.89,60,300,15,77.3
10,18.00679502,78.70894677,3.284258211,48.12,6.48,43.51,1.89,60,400,15,36.9
11,18.00679502,78.70894677,3.284258211,48.12,6.48,43.51,1.89,60,500,15,23.3
12,18.00679502,78.70894677,3.284258211,48.12,6.48,43.51,1.89,60,600,15,21.7
13,6.54,91.16,2.3,42.1,5.9,43.51,0.5,60,300,20,33
14,6.54,91.16,2.3,42.1,5.9,43.51,0.5,60,350,20,25
15,6.54,91.16,2.3,42.1,5.9,43.51,0.5,60,400,20,24.3
16,6.54,91.16,2.3,42.1,5.9,43.51,0.5,60,450,20,24
17,11.19,87.76,1.05,44.47,5.82,48.88,0,60,400,5,34.21
18,11.19,87.76,1.05,44.47,5.82,48.88,0,60,450,5,31.89
19,11.19,87.76,1.05,44.47,5.82,48.88,0,60,500,5,29.06
20,11.19,87.76,1.05,44.47,5.82,48.88,0,60,550,5,27.88
21,11.19,87.76,1.05,44.47,5.82,48.88,0,60,600,5,26.12
22,15.3813058,78.49844036,6.120253845,41,7.17,33.24,0.99,30,300,10,62.89
23,15.3813058,78.49844036,6.120253845,41,7.17,33.24,0.99,30,400,10,41.58
24,15.3813058,78.49844036,6.120253845,41,7.17,33.24,0.99,30,500,10,34.79
25,15.3813058,78.49844036,6.120253845,41,7.17,33.24,0.99,30,600,10,36.85
26,15.3813058,78.49844036,6.120253845,41,7.17,33.24,0.99,30,700,10,32.62
27,8.93,82.21,8.86,43.28,5.92,39.32,1.96,30,300,10,62.73
28,8.93,82.21,8.86,43.28,5.92,39.32,1.96,30,350,10,46.6
29,8.93,82.21,8.86,43.28,5.92,39.32,1.96,30,400,10,41.08
30,8.93,82.21,8.86,43.28,5.92,39.32,1.96,30,450,10,37.79
31,8.93,82.21,8.86,43.28,5.92,39.32,1.96,30,500,10,35.86
32,8.93,82.21,8.86,43.28,5.92,39.32,1.96,30,550,10,35.02
33,8.93,82.21,8.86,43.28,5.92,39.32,1.96,30,600,10,35.79
34,17.40112994,80.2259887,2.372881356,51.71,5.32,42.64,0.33,60,500,10,24.5
35,23.17596567,70.24320458,6.580829757,61.57,4.37,33.04,1.02,60,500,10,38.7
36,12.45828699,83.98220245,3.559510567,64.23,6.89,27.61,0.77,1,450,20,32.48
37,12.45828699,83.98220245,3.559510567,64.23,6.89,27.61,0.77,1,475,20,31.32
38,12.45828699,83.98220245,3.559510567,64.23,6.89,27.61,0.77,1,500,20,29.38
39,12.45828699,83.98220245,3.559510567,64.23,6.89,27.61,0.77,1,525,20,29.08
40,12.45828699,83.98220245,3.559510567,64.23,6.89,27.61,0.77,1,550,20,27.46
41,12.45828699,83.98220245,3.559510567,64.23,6.89,27.61,0.77,1,575,20,26.98
42,12.45828699,83.98220245,3.559510567,64.23,6.89,27.61,0.77,1,600,20,25.66
43,11.1,80.85,8.05,47.75,5.61,45.51,0.9,20,200,15,83.11
44,11.1,80.85,8.05,47.75,5.61,45.51,0.9,20,225,15,80.13
45,11.1,80.85,8.05,47.75,5.61,45.51,0.9,20,250,15,69.19
46,11.1,80.85,8.05,47.75,5.61,45.51,0.9,20,275,15,63.87
47,11.1,80.85,8.05,47.75,5.61,45.51,0.9,20,300,15,55.65
48,11.1,80.85,8.05,47.75,5.61,45.51,0.9,20,330,15,50.21
49,10.29,83.08,6.63,38.34,5.47,53.1,0.6,60,300,20,36.1
50,10.29,83.08,6.63,38.34,5.47,53.1,0.6,60,350,20,34.6
51,10.29,83.08,6.63,38.34,5.47,53.1,0.6,60,400,20,34.4
